22.12.2025 21:10:11;1;21;equity=-12.399000;realized=-11.925000;unrealized=-0.474000;opens=11;closes=10;open_end=1;params={'EMA_FAST': 5, 'EMA_SLOW': 21, 'SIGNAL_MAX_PRICE_DISTANCE_SPREADS': 4.0, 'SIGNAL_MOMENTUM_TOLERANCE': 1.2, 'STOP_LOSS_PCT': 0.005, 'TRAILING_STOP_PCT': 0.0025, 'TRAILING_SET_CALM_DOWN': 0.5, 'TAKE_PROFIT_PCT': 0.006, 'BREAK_EVEN_STOP_PCT': 0.001, 'BREAK_EVEN_BUFFER_PCT': 0.0005}
22.12.2025 21:10:11;2;21;equity=-12.072000;realized=-11.598000;unrealized=-0.474000;opens=10;closes=9;open_end=1;params={'EMA_FAST': 5, 'EMA_SLOW': 21, 'SIGNAL_MAX_PRICE_DISTANCE_SPREADS': 4.0, 'SIGNAL_MOMENTUM_TOLERANCE': 1.2, 'STOP_LOSS_PCT': 0.005, 'TRAILING_STOP_PCT': 0.0026, 'TRAILING_SET_CALM_DOWN': 0.5, 'TAKE_PROFIT_PCT': 0.006, 'BREAK_EVEN_STOP_PCT': 0.001, 'BREAK_EVEN_BUFFER_PCT': 0.0005}
22.12.2025 21:10:11;3;21;equity=-12.744000;realized=-12.270000;unrealized=-0.474000;opens=10;closes=9;open_end=1;params={'EMA_FAST': 5, 'EMA_SLOW': 21, 'SIGNAL_MAX_PRICE_DISTANCE_SPREADS': 4.0, 'SIGNAL_MOMENTUM_TOLERANCE': 1.2, 'STOP_LOSS_PCT': 0.005, 'TRAILING_STOP_PCT': 0.0027, 'TRAILING_SET_CALM_DOWN': 0.5, 'TAKE_PROFIT_PCT': 0.006, 'BREAK_EVEN_STOP_PCT': 0.001, 'BREAK_EVEN_BUFFER_PCT': 0.0005}
22.12.2025 21:10:11;4;21;equity=-10.881000;realized=-10.407000;unrealized=-0.474000;opens=9;closes=8;open_end=1;params={'EMA_FAST': 5, 'EMA_SLOW': 21, 'SIGNAL_MAX_PRICE_DISTANCE_SPREADS': 4.0, 'SIGNAL_MOMENTUM_TOLERANCE': 1.2, 'STOP_LOSS_PCT': 0.005, 'TRAILING_STOP_PCT': 0.0028, 'TRAILING_SET_CALM_DOWN': 0.5, 'TAKE_PROFIT_PCT': 0.006, 'BREAK_EVEN_STOP_PCT': 0.001, 'BREAK_EVEN_BUFFER_PCT': 0.0005}
22.12.2025 21:10:11;5;21;equity=-8.385000;realized=-7.911000;unrealized=-0.474000;opens=9;closes=8;open_end=1;params={'EMA_FAST': 5, 'EMA_SLOW': 21, 'SIGNAL_MAX_PRICE_DISTANCE_SPREADS': 4.0, 'SIGNAL_MOMENTUM_TOLERANCE': 1.2, 'STOP_LOSS_PCT': 0.005, 'TRAILING_STOP_PCT': 0.0029, 'TRAILING_SET_CALM_DOWN': 0.5, 'TAKE_PROFIT_PCT': 0.006, 'BREAK_EVEN_STOP_PCT': 0.001, 'BREAK_EVEN_BUFFER_PCT': 0.0005}
22.12.2025 21:10:11;6;21;equity=-6.108000;realized=-5.634000;unrealized=-0.474000;opens=8;closes=7;open_end=1;params={'EMA_FAST': 5, 'EMA_SLOW': 21, 'SIGNAL_MAX_PRICE_DISTANCE_SPREADS': 4.0, 'SIGNAL_MOMENTUM_TOLERANCE': 1.2, 'STOP_LOSS_PCT': 0.005, 'TRAILING_STOP_PCT': 0.003, 'TRAILING_SET_CALM_DOWN': 0.5, 'TAKE_PROFIT_PCT': 0.006, 'BREAK_EVEN_STOP_PCT': 0.001, 'BREAK_EVEN_BUFFER_PCT': 0.0005}
22.12.2025 21:10:11;7;21;equity=-6.972000;realized=-5.679000;unrealized=-1.293000;opens=8;closes=7;open_end=1;params={'EMA_FAST': 5, 'EMA_SLOW': 21, 'SIGNAL_MAX_PRICE_DISTANCE_SPREADS': 4.0, 'SIGNAL_MOMENTUM_TOLERANCE': 1.2, 'STOP_LOSS_PCT': 0.005, 'TRAILING_STOP_PCT': 0.0031, 'TRAILING_SET_CALM_DOWN': 0.5, 'TAKE_PROFIT_PCT': 0.006, 'BREAK_EVEN_STOP_PCT': 0.001, 'BREAK_EVEN_BUFFER_PCT': 0.0005}
22.12.2025 21:10:11;8;21;equity=-7.356000;realized=-6.063000;unrealized=-1.293000;opens=8;closes=7;open_end=1;params={'EMA_FAST': 5, 'EMA_SLOW': 21, 'SIGNAL_MAX_PRICE_DISTANCE_SPREADS': 4.0, 'SIGNAL_MOMENTUM_TOLERANCE': 1.2, 'STOP_LOSS_PCT': 0.005, 'TRAILING_STOP_PCT': 0.0032, 'TRAILING_SET_CALM_DOWN': 0.5, 'TAKE_PROFIT_PCT': 0.006, 'BREAK_EVEN_STOP_PCT': 0.001, 'BREAK_EVEN_BUFFER_PCT': 0.0005}
22.12.2025 21:10:11;9;21;equity=-7.839000;realized=-6.546000;unrealized=-1.293000;opens=8;closes=7;open_end=1;params={'EMA_FAST': 5, 'EMA_SLOW': 21, 'SIGNAL_MAX_PRICE_DISTANCE_SPREADS': 4.0, 'SIGNAL_MOMENTUM_TOLERANCE': 1.2, 'STOP_LOSS_PCT': 0.005, 'TRAILING_STOP_PCT': 0.0033, 'TRAILING_SET_CALM_DOWN': 0.5, 'TAKE_PROFIT_PCT': 0.006, 'BREAK_EVEN_STOP_PCT': 0.001, 'BREAK_EVEN_BUFFER_PCT': 0.0005}
22.12.2025 21:10:11;10;21;equity=-8.439000;realized=-7.146000;unrealized=-1.293000;opens=8;closes=7;open_end=1;params={'EMA_FAST': 5, 'EMA_SLOW': 21, 'SIGNAL_MAX_PRICE_DISTANCE_SPREADS': 4.0, 'SIGNAL_MOMENTUM_TOLERANCE': 1.2, 'STOP_LOSS_PCT': 0.005, 'TRAILING_STOP_PCT': 0.0034, 'TRAILING_SET_CALM_DOWN': 0.5, 'TAKE_PROFIT_PCT': 0.006, 'BREAK_EVEN_STOP_PCT': 0.001, 'BREAK_EVEN_BUFFER_PCT': 0.0005}
22.12.2025 21:10:11;11;21;equity=-8.739000;realized=-7.446000;unrealized=-1.293000;opens=8;closes=7;open_end=1;params={'EMA_FAST': 5, 'EMA_SLOW': 21, 'SIGNAL_MAX_PRICE_DISTANCE_SPREADS': 4.0, 'SIGNAL_MOMENTUM_TOLERANCE': 1.2, 'STOP_LOSS_PCT': 0.005, 'TRAILING_STOP_PCT': 0.0035, 'TRAILING_SET_CALM_DOWN': 0.5, 'TAKE_PROFIT_PCT': 0.006, 'BREAK_EVEN_STOP_PCT': 0.001, 'BREAK_EVEN_BUFFER_PCT': 0.0005}
